Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 15,OQ503501.1,MinorParent, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 5.736938710233, 0, 2, 1, 0, 5, 5, 0,
 16,OK017801.1,Recombinant, 12.3886635805505, 20, 5, 10, 5, 0, 4, 14, 8, 0, 7.37448986943782, 0, 2, 2, 10, 2.5, 5, 0,
 16,OK017814.1,MajorParent, 5.82074825199954, 0, 0, 0, 10, 0, 8, 18, 0, 4, 6.0208441751285, 0, 0, 0, 0, 0, 0, 20,
 16,OK017845.1,MinorParent, 11.79058816745, 20, 10, 5, 0, 10, 0, 0, 4, 8, 6.60466595543368, 0, 4, 1, 20, 5, 5, 15,
 17,OK017809.1,Recombinant, 14.5997155552664, 20, 10, 10, 0, 5, 8, 18, 8, 4, 7.42025658946511, 1.40468227424749, 0, 0, 20, 2.5, 0, 0,
 17,OQ503499.1,MajorParent, 9.50453128409873, 0, 0, 0, 5, 5, 4, 14, 0, 8, 5.80734672300129, 2.97658862876254, 4, 2, 20, 5, 5, 20,
 17,GQ153542.1,MinorParent, 5.89575316063485, 10, 0, 5, 10, 5, 0, 0, 4, 0, 6.7723966875336, 1.97324414715719, 2, 1, 0, 0, 0, 15,
 18,OK017843.1,Recombinant, 19.0862236468952, 20, 10, 10, 10, 5, 8, 18, 8, 8, 8.6303563883988, .132013201320132, 2, 2, 20, 5, 0, 0,
 18,OK017810.1,MajorParent, 5.77733497499435, 0, 0, 5, 5, 5, 4, 14, 4, 4, 4.95439580868792, 0, 0, 0, 0, 2.5, 0, 20,
 18,OK017860.1,MinorParent, 5.13644137811047, 10, 0, 0, 0, 5, 0, 0, 0, 0, 6.41524780291328, 1.98019801980198, 4, 1, 10, 0, 0, 15,
 19,OK017824.1,Recombinant, 25.7698388832466, 10, 10, 10, 10, 10, 8, 18, 8, 8, 7.54932116242069, 0, 2, 2, 20, 5, 0, 15,
 19,KY417147.1,MajorParent, 2.17947414872553, 0, 0, 5, 5, 0, 4, 14, 4, 4, 6.44648585484177, 0, 0, 1, 0, 2.5, 0, 20,
 19,OK017809.1,MinorParent, 2.05068696802791, 20, 10, 0, 0, 0, 0, 0, 0, 0, 6.00419298273754, 0, 4, 0, 10, 0, 0, 0,
 20,OK017828.1,Recombinant, 20.055088563967, 20, 1, 10, 0, 10, 8, 18, 8, 8, 9.43471682330672, 6.38977635782748E-02, 2, 2, 20, 2.5, 0, 20,
 20,MK211376.1,MajorParent, 5.50828469846303, 0, 1, 5, 10, 0, 0, 0, 4, 4, 6.13210795822137, 0, 0, 0, 0, 5, 5, 15,
 20,GQ153545.1,MinorParent, 4.43662673756995, 10, 1, 0, 5, 0, 4, 14, 0, 0, 4.43317521847191, 0, 4, 1, 10, 0, 0, 0,
 21,OK017825.1,Recombinant, 19.7963686220852, 20, 10, 5, 10, 5, 8, 18, 4, 8, 6.77070076239115, 0, 4, 2, 20, 0, 0, 15,
 21,OK017846.1,MajorParent, 10.2036313779148, 0, 0, 10, 5, 5, 4, 14, 8, 4, 6.61235891004798, .438871473354232, 0, 0, 0, 2.5, 0, 20,
 21,KY417145.1,MinorParent, 0, 10, 5, 0, 0, 5, 0, 0, 0, 0, 6.61694032756087, .501567398119122, 4, 1, 20, 5, 0, 0,
 22,OR233309.1,Recombinant, 14.3742960390976, 20, 10, 0, 5, 10, 4, 14, 4, 4, 7.77340083593859, 0, 4, 0, 20, 2.5, 0, 20,
 22,OR261264.1,MajorParent, 11.5984153108857, 20, 10, 10, 0, 0, 0, 0, 8, 8, 6.32233071637568, 2.74143302180685, 0, 2, 20, 5, 5, 15,
 22,OR261263.1,MinorParent, 4.02728865001666, 0, 0, 5, 10, 0, 8, 18, 0, 0, 5.90426844768573, 0, 2, 1, 0, 0, 0, 0,
 25,OP963576.1,Recombinant, 20.1282549198846, 20, 10, 5, 10, 10, 8, 18, 4, 8, 7.31882336363021, 0, 2, 1, 20, 2.5, 0, 15,
 25,OK017806.1,MajorParent, 6.52323725572167, 0, 5, 10, 0, 0, 4, 14, 8, 4, 6.60041468056632, 0, 0, 2, 0, 5, 0, 0,
 25,OK017805.1,MinorParent, 3.34850782439371, 0, 0, 0, 5, 0, 0, 0, 0, 0, 6.08076195580347, 0, 4, 0, 0, 0, 0, 20,
 26,OQ175343.1,Recombinant, 20.9932926835951, 20, 10, 10, 10, 10, 8, 18, 8, 8, 10.0707418778154, 3.38461538461538, 4, 2, 20, 5, 5, 15,
 26,OK017833.1,MajorParent, 6.02883229423508, 0, 10, 0, 5, 0, 4, 14, 4, 4, 5.24070161021125, 0, 0, 0, 0, 0, 0, 20,
 26,OK017806.1,MinorParent, 2.97787502216982, 10, 0, 5, 0, 0, 0, 0, 0, 0, 4.68855651197332, 0, 2, 1, 10, 2.5, 5, 0,
 27,OK017859.1,Recombinant, 20.3207464098652, 20, 1, 10, 10, 10, 8, 18, 8, 8, 7.99518817929443, 0, 4, 2, 20, 5, 5, 15,
 27,OK017833.1,MajorParent, 6.02491767426151, 20, 1, 0, 5, 0, 4, 14, 0, 4, 5.78447678115229, 0, 0, 0, 20, 0, 0, 0,
 27,OQ175343.1,MinorParent, 3.65433591587328, 0, 1, 5, 0, 0, 0, 0, 4, 0, 6.22033503955328, 0, 2, 1, 0, 2.5, 0, 20,
 29,OR233326.1,Recombinant, 13.4346893226262, 10, 10, 5, 5, 0, 8, 18, 4, 8, 7.25774257949738, 3.23170731707317, 0, 2, 10, 5, 5, 15,
 29,KP886808.1,MajorParent, 11.3589824233154, 20, 10, 10, 0, 10, 0, 0, 8, 4, 6.55093709153932, 2.25609756097561, 4, 1, 20, 2.5, 0, 0,
 29,DQ412042.1,MinorParent, 5.2063282540584, 0, 0, 0, 10, 0, 4, 14, 0, 0, 6.1913203289633, .335365853658537, 4, 0, 0, 0, 0, 20,
 30,MZ081381.1,Recombinant, 17.3648454931372, 20, 10, 10, 5, 5, 8, 18, 8, 8, 6.93560450191149, 0, 0, 1, 20, 5, 0, 15,
 30,MN996532.2,MajorParent, 8.03631205633721, 0, 0, 0, 10, 5, 4, 14, 0, 4, 7.08672339999129, .515151515151515, 2, 2, 0, 2.5, 0, 20,
 30,MG772933.1,MinorParent, 4.59884245052556, 20, 0, 5, 0, 5, 0, 0, 4, 0, 5.97767209809722, 0, 4, 0, 10, 0, 0, 0,
 31,OK017839.1,Recombinant, 20.5080365371786, 20, 10, 10, 10, 10, 8, 18, 8, 4, 9.66460738954092, 0, 4, 2, 20, 5, 0, 15,
 31,OK017844.1,MajorParent, 8.88685762101816, 10, 10, 5, 0, 0, 4, 14, 4, 8, 5.58846247435253, 0, 0, 1, 10, 2.5, 0, 20,
 31,KJ473815.1,MinorParent, .605105841803278, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4.74693013610655, .604229607250755, 2, 0, 0, 0, 0, 0,
 34,OK017832.1,Recombinant, 15.2287944651268, 20, 10, 5, 10, 10, 4, 14, 4, 8, 7.41545551872747, 1.67664670658683, 4, 1, 20, 5, 5, 20,
 34,OK017860.1,MajorParent, .814478597531824, 0, 0, 0, 5, 0, 0, 0, 0, 4, 5.48867566124574, 0, 0, 0, 0, 0, 0, 0,
 34,OK017859.1,MinorParent, 13.9567269373414, 20, 10, 10, 0, 0, 8, 18, 8, 0, 7.09586882002679, 5.5688622754491, 2, 2, 20, 2.5, 5, 15,
 35,KP886808.1,Recombinant, 13.9783996493354, 20, 10, 10, 0, 0, 0, 0, 8, 8, 7.85915609009016, 0, 0, 2, 20, 5, 5, 15,
 35,OK017832.1,MajorParent, 6.73869295231767, 0, 0, 5, 10, 10, 4, 14, 4, 4, 5.136426418342, 2.8955223880597, 4, 0, 0, 0, 0, 20,
 35,OP963575.1,MinorParent, 9.28290739834689, 20, 10, 0, 5, 0, 8, 18, 0, 0, 7.00441749156784, 0, 2, 1, 20, 2.5, 5, 0,
 36,OR233311.1,Recombinant, 15.5036414541675, 20, 1, 5, 5, 5, 8, 18, 4, 0, 7.3357347271359, 5.42005420054201E-02, 2, 1, 20, 0, 0, 15,
 36,OK017809.1,MajorParent, 14.4963585458325, 0, 1, 10, 0, 5, 4, 14, 8, 8, 6.44811419367285, 1.11111111111111, 4, 0, 10, 5, 5, 20,
 36,OQ503500.1,MinorParent, 0, 10, 1, 0, 10, 5, 0, 0, 0, 4, 6.21615107919125, 3.14363143631436, 0, 2, 0, 2.5, 0, 0,
 37,FJ588686.1,Recombinant, 13.2757123489676, 20, 10, 10, 5, 0, 8, 18, 8, 0, 6.55919946960236, .74468085106383, 0, 1, 20, 0, 0, 20,
 37,KY417151.1,MajorParent, 4.01027803110951, 0, 0, 0, 0, 10, 0, 0, 0, 8, 6.67862693798778, 2.79255319148936, 4, 2, 0, 5, 5, 0,
 37,KY770858.1,MinorParent, 12.7140096199229, 0, 5, 5, 10, 0, 4, 14, 4, 4, 6.76217359240987, 7.97872340425532E-02, 2, 0, 20, 2.5, 0, 15,
 38,OK017832.1,Recombinant, 18.6477341354329, 20, 10, 10, 0, 10, 8, 18, 8, 8, 7.59836854235997, 1.37931034482759, 2, 2, 20, 5, 0, 15,
 38,OK017860.1,MajorParent, 9.53078806305867, 10, 10, 0, 10, 0, 4, 14, 0, 4, 7.00289287157485, .663129973474801, 0, 0, 10, 2.5, 0, 20,
 38,OK017846.1,MinorParent, 1.82147780150847, 0, 0, 5, 5, 0, 0, 0, 4, 0, 5.39873858606517, .13262599469496, 4, 1, 0, 0, 0, 0,
 39,OR233310.1,Recombinant, 17.4416226892711, 20, 10, 5, 10, 10, 8, 18, 4, 8, 7.34634452585828, 4.30079155672823, 4, 1, 20, 2.5, 0, 0,
 39,KF569996.1,MajorParent, 7.44489927211203, 0, 0, 10, 5, 0, 4, 14, 8, 4, 6.04736070264112, .29023746701847, 0, 2, 0, 5, 5, 20,
 39,OR261263.1,MinorParent, 5.11347803861691, 10, 10, 0, 0, 0, 0, 0, 0, 0, 6.6062947715006, 2.32189973614776, 2, 0, 10, 0, 0, 15,
 40,OK017825.1,Recombinant, 17.9164789710178, 20, 10, 5, 5, 5, 8, 18, 4, 4, 8.43578258481329, .656167979002625, 2, 2, 20, 2.5, 5, 15,
 40,OK017829.1,MajorParent, 6.51543250248308, 0, 0, 10, 0, 5, 4, 14, 8, 8, 5.61620739772021, 1.54855643044619, 0, 0, 0, 0, 0, 20,
 40,OK017811.1,MinorParent, 5.56808852649907, 10, 10, 0, 10, 5, 0, 0, 0, 0, 5.94801001746649, 0, 4, 1, 20, 5, 5, 0,
 42,OK017839.1,Recombinant, 15.2786918211194, 0, 0, 10, 0, 10, 8, 18, 8, 8, 7.26451653177533, 0, 4, 2, 0, 5, 5, 20,
 42,OK017808.1,MajorParent, 6.94333624131503, 10, 0, 5, 5, 0, 4, 14, 4, 4, 6.60375367689094, 0, 0, 0, 20, 2.5, 0, 0,
 42,OK017807.1,MinorParent, 7.77797193756552, 20, 10, 0, 10, 0, 0, 0, 0, 0, 6.13172979133373, 0, 2, 1, 20, 0, 0, 15,
 43,OK017840.1,Recombinant, 21.1635431494083, 20, 10, 10, 10, 10, 8, 18, 8, 8, 12.0825348821745, 0, 4, 2, 20, 5, 5, 15,
 43,OK017845.1,MajorParent, 6.88371793517067, 10, 0, 5, 5, 0, 4, 14, 0, 4, 4.34260026726676, 1.49870801033592, 0, 0, 10, 0, 0, 20,
 43,OK017848.1,MinorParent, 1.95273891542105, 0, 10, 0, 0, 0, 0, 0, 4, 0, 3.57486485055876, 0, 2, 1, 0, 2.5, 5, 0,
 45,MK211378.1,Recombinant, 21.0423818973692, 20, 10, 10, 10, 10, 8, 18, 8, 8, 7.6508127539123, 1.41025641025641, 4, 0, 20, 5, 5, 20,
 45,MK211376.1,MajorParent, 4.96163739868773, 10, 10, 5, 0, 0, 0, 0, 4, 4, 6.13001526115995, 1.74358974358974, 0, 2, 20, 2.5, 0, 0,
 45,KY417144.1,MinorParent, 3.99598070394311, 0, 0, 0, 5, 0, 4, 14, 0, 0, 6.21917198492774, 1.48717948717949, 2, 1, 0, 0, 0, 15,
 46,OK017819.1,Recombinant, 14.0518201852961, 0, 0, 10, 10, 10, 4, 14, 8, 8, 7.60006478810714, 0, 2, 2, 0, 5, 5, 15,
 46,OK017808.1,MajorParent, 11.9582116866868, 20, 10, 5, 0, 0, 8, 18, 4, 4, 6.39674277652786, 0, 0, 0, 20, 0, 0, 20,
 46,OK017810.1,MinorParent, 3.9899681280171, 10, 5, 0, 5, 0, 0, 0, 0, 0, 6.003192435365, 0, 4, 1, 10, 2.5, 0, 0,
 47,OQ175343.1,Recombinant, 15.0112432782802, 20, 10, 5, 10, 10, 8, 18, 8, 8, 5.86037151511753, 0, 0, 2, 20, 2.5, 0, 0,
 47,DQ412043.1,MajorParent, 7.16541722466816, 10, 0, 0, 0, 0, 4, 14, 0, 4, 6.34051242215915, .127551020408163, 2, 0, 10, 0, 0, 20,
 47,DQ412042.1,MinorParent, 7.82333949705161, 0, 0, 10, 5, 0, 0, 0, 4, 0, 7.79911606272332, 0, 4, 1, 0, 5, 0, 15,
 48,OK017859.1,Recombinant, 16.8348187510841, 20, 10, 10, 0, 10, 4, 0, 8, 8, 7.48501657386464, 2.54452926208651E-02, 4, 0, 20, 5, 5, 20,
 48,OK017833.1,MajorParent, 9.49503338394792, 10, 10, 5, 10, 0, 8, 18, 4, 4, 6.53959997505408, 0, 2, 2, 10, 0, 0, 0,
 48,OK017835.1,MinorParent, 3.67014786496801, 0, 0, 0, 5, 0, 0, 14, 0, 0, 5.97538345108129, 0, 0, 1, 0, 2.5, 0, 15,
 50,OQ175343.1,Recombinant, 19.2923013681321, 20, 10, 10, 0, 10, 8, 18, 8, 8, 8.97069450009445, 0, 0, 2, 20, 5, 5, 15,
 50,DQ648857.1,MajorParent, 8.2954173013598, 10, 10, 5, 10, 0, 4, 14, 4, 4, 5.02418111106831, .278481012658228, 2, 0, 10, 0, 0, 20,
 50,MK211374.1,MinorParent, 2.41228133050809, 0, 0, 0, 5, 0, 0, 0, 0, 0, 6.00512438883724, 0, 4, 1, 0, 2.5, 5, 0,
 55,OK017840.1,Recombinant, 15.1112326649555, 20, 10, 10, 0, 0, 0, 0, 4, 8, 7.80485643932791, 3.175, 4, 2, 20, 2.5, 0, 20,
 55,OM240725.1,MajorParent, 10.5836885918455, 10, 5, 5, 10, 10, 8, 18, 8, 4, 6.36864681266812, 0, 0, 1, 10, 5, 0, 0,
 55,GQ153542.1,MinorParent, 4.30507874319901, 0, 0, 0, 5, 0, 4, 14, 0, 0, 5.82649674800397, 0, 2, 0, 0, 0, 0, 15,
 56,KU182964.1,Recombinant, 11.7196956806007, 20, 10, 5, 0, 10, 0, 0, 4, 8, 5.95491115809731, 2.16417910447761, 4, 2, 20, 5, 5, 15,
 56,DQ412042.1,MajorParent, 9.37496854603924, 10, 5, 0, 5, 0, 4, 14, 0, 4, 7.15593074229831, 0, 0, 1, 10, 0, 0, 20,
 56,EPI_ISL_852605,MinorParent, 8.90533577336004, 0, 0, 10, 10, 0, 8, 18, 8, 0, 6.88915809960438, 0, 2, 0, 0, 2.5, 0, 0,
 58,OK017846.1,Recombinant, 18.652276347555, 20, 1, 10, 10, 10, 8, 18, 8, 8, 7.83810890999397, .746268656716418, 2, 2, 20, 5, 0, 0,
 58,KJ473814.1,MajorParent, 5.49739026939122, 0, 1, 5, 0, 0, 4, 14, 4, 4, 6.34564053065118, .870646766169154, 0, 1, 0, 2.5, 0, 20,
 58,OK017800.1,MinorParent, 5.85033338305376, 20, 1, 0, 5, 0, 0, 0, 0, 0, 5.81625055935485, 1.39303482587065, 4, 0, 20, 0, 0, 15,
 59,OK017819.1,Recombinant, 17.7460319086323, 10, 10, 10, 10, 10, 4, 14, 8, 8, 8.27803908815114, 1.61290322580645, 2, 2, 20, 5, 5, 20,
 59,GQ153545.1,MajorParent, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5.23463767280682, 1.24069478908189, 4, 0, 0, 0, 0, 0,
 59,OK017842.1,MinorParent, 12.2539680913677, 20, 10, 5, 5, 0, 8, 18, 4, 0, 6.48732323904204, .347394540942928, 0, 1, 10, 2.5, 5, 15,
 62,OR233323.1,Recombinant, 14.6678000395463, 10, 0, 10, 10, 0, 8, 18, 8, 0, 6.04257032230243, 0, 2, 0, 10, 2.5, 0, 20,
 62,OK017834.1,MajorParent, 12.8440473718796, 20, 5, 0, 0, 10, 4, 14, 0, 4, 6.67898608081843, 2.18137254901961, 4, 2, 20, 5, 5, 0,
 62,OK017835.1,MinorParent, 2.48815258857413, 0, 10, 5, 5, 0, 0, 0, 4, 8, 7.27844359687915, 0, 0, 1, 0, 0, 0, 15,
 64,OK017858.1,Recombinant, 12.6586696243233, 20, 5, 5, 0, 5, 4, 14, 4, 4, 7.1561618747194, 2.02439024390244, 2, 2, 10, 5, 5, 15,
 64,KY417148.1,MajorParent, 8.78834905060823, 0, 0, 10, 10, 5, 8, 18, 8, 0, 5.80756833836945, .219512195121951, 0, 0, 0, 0, 0, 20,
 64,KY417144.1,MinorParent, 8.55298132506851, 20, 10, 0, 5, 5, 0, 0, 0, 8, 7.03626978691114, 1.29268292682927, 4, 1, 20, 2.5, 5, 0,
 65,OK017834.1,Recombinant, 14.6052388168909, 10, 0, 5, 0, 10, 8, 18, 4, 8, 7.20372870506958, 1.31707317073171, 4, 2, 10, 5, 5, 20,
 65,OK017835.1,MajorParent, 9.97932095171174, 20, 10, 0, 5, 0, 0, 0, 0, 4, 7.14756654954382, .268292682926829, 0, 1, 20, 2.5, 0, 15,
 65,OR233295.1,MinorParent, 5.4154402313974, 0, 0, 10, 10, 0, 4, 14, 8, 0, 5.6487047453866, 0, 2, 0, 0, 0, 0, 0,
 66,OR261262.1,Recombinant, 15.6302476612223, 20, 10, 0, 0, 5, 0, 0, 0, 4, 7.94534507610624, 3.06569343065693, 0, 2, 20, 2.5, 0, 20,
 66,OR233303.1,MajorParent, 11.1192819956966, 10, 5, 10, 0, 5, 0, 0, 8, 8, 6.83865086793948, 1.43552311435523, 0, 0, 10, 0, 0, 15,
 66,OK017829.1,MinorParent, 3.25047034308111, 0, 0, 5, 0, 5, 0, 0, 4, 0, 5.21600405595428, .194647201946472, 4, 1, 0, 5, 0, 0,
 67,KY417144.1,Recombinant, 18.7379129508262, 20, 10, 0, 10, 0, 8, 18, 0, 8, 6.73010661479872, 2.59168704156479, 0, 2, 20, 5, 5, 0,
 67,OQ503504.1,MajorParent, 6.5330421651042, 10, 5, 10, 0, 10, 4, 14, 8, 4, 7.03357075879364, 0, 4, 1, 0, 2.5, 0, 20,
 67,KY417147.1,MinorParent, 4.72904488406958, 0, 0, 5, 5, 0, 0, 0, 4, 0, 6.23632262640764, 0, 2, 0, 0, 0, 0, 15,
 68,OR261263.1,Recombinant, 15.2021495996752, 10, 10, 10, 5, 0, 8, 18, 8, 0, 6.83522767502221, 0, 2, 1, 20, 0, 0, 15,
 68,OQ503500.1,MajorParent, 14.7978504003248, 20, 5, 5, 10, 10, 0, 0, 4, 8, 6.76785317119082, 2.1219512195122, 4, 2, 20, 5, 5, 20,
 68,GQ153547.1,MinorParent, 0, 0, 0, 0, 0, 0, 4, 14, 0, 4, 6.39691915378697, 0, 0, 0, 0, 2.5, 0, 0,
 70,OK017830.1,Recombinant, 18.0359436266751, 10, 0, 10, 10, 0, 8, 18, 8, 8, 8.02289357963157, 1.24087591240876, 0, 2, 10, 5, 0, 15,
 70,KC881005.1,MajorParent, 3.6841072694264, 0, 0, 0, 0, 10, 0, 0, 0, 4, 6.59556363701382, 1.84914841849148, 4, 1, 0, 2.5, 0, 20,
 70,KF294457.1,MinorParent, 8.27994910389847, 20, 10, 5, 5, 0, 4, 14, 4, 0, 5.38154278335461, 0, 2, 0, 20, 0, 0, 0,
 73,OK017844.1,Recombinant, 20.6971412394308, 20, 5, 10, 10, 10, 8, 18, 8, 8, 7.83868870243213, 2.97820823244552, 4, 2, 20, 5, 5, 0,
 73,OK017801.1,MajorParent, 9.30285876056922, 0, 10, 0, 5, 0, 4, 14, 0, 4, 6.07089434175191, 0, 0, 0, 10, 0, 0, 20,
 73,OK017828.1,MinorParent, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 6.09041695581597, 1.06537530266344, 2, 1, 0, 2.5, 0, 15,
 74,OK017829.1,Recombinant, 18.1402648141083, 20, 10, 10, 0, 5, 8, 18, 8, 8, 7.28733014632599, 0, 0, 1, 20, 5, 5, 20,
 74,OK017845.1,MajorParent, 6.85395983331081, 10, 10, 0, 10, 5, 4, 14, 0, 0, 5.56397878030071, 0, 4, 0, 0, 0, 0, 15,
 74,KU973692.1,MinorParent, 5.00577535258085, 0, 0, 5, 5, 5, 0, 0, 4, 4, 7.1486910733733, 0, 2, 2, 10, 2.5, 5, 0,
 75,OK017823.1,Recombinant, 14.9289084606966, 20, 10, 0, 0, 5, 0, 0, 4, 4, 7.23932577600357, .551558752997602, 2, 0, 20, 0, 0, 20,
 75,MZ081377.1,MajorParent, 8.1587241810862, 10, 0, 10, 0, 5, 0, 0, 8, 8, 5.60683536746922, .359712230215827, 0, 2, 0, 5, 5, 15,
 75,OK017810.1,MinorParent, 6.91236735821724, 0, 10, 5, 0, 5, 0, 0, 0, 0, 7.15383885652721, 0, 4, 1, 10, 2.5, 0, 0,
 77,KU973692.1,Recombinant, 20.7064456842693, 20, 10, 10, 0, 10, 8, 18, 8, 8, 7.87686937960282, 0, 4, 2, 20, 5, 0, 20,
 77,KY417147.1,MajorParent, 4.4887659416167, 0, 0, 0, 10, 0, 4, 14, 0, 4, 5.54974024902624, .669856459330144, 0, 0, 0, 2.5, 0, 15,
 77,OQ503506.1,MinorParent, 4.80478837411399, 10, 5, 5, 5, 0, 0, 0, 4, 0, 6.57339037137094, 4.78468899521531E-02, 2, 1, 10, 0, 0, 0,
